,Prize,Odds ,Total Winners,Claimed,Available,
Ruby Red,200,2003,12086,4429,7657,5
Ruby Red,100,300,80720,29777,50943,5
Ruby Red,50,120,201505,74393,127112,5
Ruby Red,20,40,605264,221792,383472,5
Ruby Red,15,27,907854,331009,576845,5
Ruby Red,10,16,1513034,548685,964349,5
Ruby Red,6,16,1513090,542640,970450,5
Ruby Red,Ticket,11,2118326,755626,1362700,5
The Price is Right,100000,1209957,15,8,7,5
The Price is Right,10000,235706,77,49,28,5
The Price is Right,1000,13414,1353,861,492,5
The Price is Right,400,2773,6545,4554,1991,5
The Price is Right,200,1203,15090,10501,4589,5
The Price is Right,100,460,39449,27316,12133,5
The Price is Right,50,160,113413,78196,35217,5
The Price is Right,30,120,151308,103981,47327,5
The Price is Right,20,40,453843,311325,142518,5
The Price is Right,15,33,544340,371139,173201,5
The Price is Right,10,24,771341,520250,251091,5
The Price is Right,6,16,1134335,748263,386072,5
The Price is Right,Ticket,10,1814936,1197512,617424,5
Win it All,100000,2407330,8,6,2,5
Win it All,10000,234861,82,60,22,5
Win it All,1000,14987,1285,919,366,5
Win it All,500,12112,1590,1354,236,5
Win it All,400,3426,5622,4820,802,5
Win it All,200,1623,11866,10428,1438,5
Win it All,100,600,32092,28065,4027,5
Win it All,75,594,32409,27510,4899,5
Win it All,50,437,44113,38355,5758,5
Win it All,40,367,52478,45095,7383,5
Win it All,30,198,97161,80790,16371,5
Win it All,25,198,97452,80277,17175,5
Win it All,20,40,481418,408414,73004,5
Win it All,15,32,601989,520996,80993,5
Win it All,10,21,902610,782147,120463,5
Win it All,6,16,1203665,1034471,169194,5
Win it All,Ticket,10,1925864,1603336,322528,5
Winning 777,77777,1210378,25,21,4,5
Winning 777,5000,117285,258,241,17,5
Winning 777,1000,12113,2498,2384,114,5
Winning 777,200,1998,15145,14731,414,5
Winning 777,100,301,100653,97488,3165,5
Winning 777,50,120,252163,243423,8740,5
Winning 777,20,40,756567,737258,19309,5
Winning 777,15,27,1134729,1100754,33975,5
Winning 777,10,16,1891053,1818197,72856,5
Winning 777,6,16,1891215,1792142,99073,5
Winning 777,Ticket,11,2647701,2453436,194265,5
